,Position,Company,City,State.Name,Job.Description,Employment.Type,Education.Required
40020,Tech Company In Need of a Front-Desk Receptionist,OfficeTeam,Fairfax,Virginia,"Ref ID: 04530-117938Classification: Secretary/Admin Asst - JuniorCompensation: $10.29 to $14.91 per hourWe currently have an opening for an articulate, skilled Receptionist in a savvy, technical company. This company is continuing to grow in their downtown Fairfax location! In this receptionist, you will greet visitors, handle incoming calls and perform general administrative duties. Proficient Receptionists will also assist other staff with overflow work, including word processing, data entry and Internet research tasks. Please send resumes for receptionist role to [Click Here to Email Your Resumé]",Seasonal/Temp,Not Specified
53938,Staff Accountant- SAP Experience Hiring ASAP,Accountemps,El Segundo,California,"Ref ID:03080-112430Classification:Accountant - StaffCompensation:$55,000.00 to $60,000.00 per yearSouth Bay manufacturing company looking for Staff Accountant with SAP experience. This role is looking to be filled immediately! This person will report to the Sr. Accountant and Controller and be responsible for: Perform and oversight of all general ledger functions Assist and or prepare financial statements Monthly balance sheet, trial balance, income statement Perform budgeting and variance analysis functions Assist or perform all year end functions Prepare audit work papers/schedules Tax preparation Fixed Assets Special projects as needed This is a contract role. If you are available to interview immediately please email your resume to: [Click Here to Email Your Resumé] or call 310-343-4066. This role is contract with the potential to go full time- paying up to $60K full time.",Seasonal/Temp,Not Specified
21551,"Agriculture Field Inspector - St. Rose, LA",SGS North America,Saint Rose,Louisiana,"PRIMARY RESPONSIBILITIES • Responsible for inspecting samples coming into the ports and/or laboratory. • Also, required to perform onsite inspections (sampling and grading) at loading/discharge facilities. • Carry out inspection and testing activities in compliance with contractual requirements and within competence and safety limits 
REPORTING LINE:Field Operations ManagerSPECIFIC RESPONSIBILITIES • Responsible for all entry level assignments as follows: o Barge, Rail, Ship Hold; o Rail Weight Supervision o Hatch Sealing o Barge Draft/Inspections • In addition, responsible for all Level 1 (Field Inspector) assignments: o Falling Numbers o Vomitoxin Testing o Aflatoxin Testing o Bagged Goods Sampling Inspection o IP Protocol Cargos o Lab Gravities for Vegetable Oils • Level 2 (Junior) Field Inspector Responsibilities: o Poultry Inspection o Log Sampling o Vessel Attendance o Vessel Cargo Hold Hose Test o Container Inspection (Cleanliness, Damage, Loading/Unloading) o Ship Hold Inspection Additional Responsibilities • Exposure to Grading Grain per USDA/FGIS Standards • Conduct testing and/or analysis on various grains including Corn, Wheat, Sorghum, Soybeans • Exposure to Gauging/Sampling and calculating of Vegetable Oil Products per FOSFA Requirements. • Proficient in most of the assignments above with the ability to effectively train the entry level and level 1 assignments. • Capable of handling multiple products, recognize and resolve field related problems. • Work closely with client’s representatives, government representatives, ship’s personnel and shore facility workers to provide clients with assurance. • May be assigned and coordinate special or ad hoc projects as needed. • Physically measure, weigh, sample and take temperatures (where applicable) of a variety of agricultural products in accordance with applicable standards and procedures. • Supervision of vessel inspections at the different terminals. • Calculate the transferred quantities (where applicable) and perform a full reconciliation of same. • Carrying out the analysis of the different grains, splitting the samples to speed the process for the Grain Graders. • Transporting samples from the terminals to the office and vice versa. • Basic laboratory testing of samples under the supervision of their Supervisor. • Taking pictures throughout the duration of the inspection process. • Ensuring detailed notes are taken throughout the inspection process. • Inspection/sampling of containers and Rail Cars at different locations. • Supervise loading and count of such agricultural products in accordance with applicable standards and procedures. • Reporting of all required field activities as per National/Regional field forms. • Maintain regular communication with administrative staff with reference to job status, progress, problems, etc. • Stay abreast and adhere to latest industry and client procedures which are provided by the area Manager/Operations Supervisor/Dispatcher or administrative staff. • At all times, adopt a safe behavior by exercising due regard for the health and safety of SGS employees and clients, in line with SGS policies and procedures. • At all times, comply with SGS Code of Integrity and Professional Conduct. ",Part-Time,High School Diploma
61980,Mortgage Processor,Accountemps,Minneapolis,Minnesota,"Ref ID:02311-118026Classification:Loan ServicingCompensation:$17.00 to $19.50 per hourRobert Half is staffing for a Mortgage Processor to work in the corporate office of a Fortune 100 financial institution in Minneapolis. No previous mortgage experience is required to be a Mortgage Processor but is beneficial to the applicant. As a Mortgage Processor, you will be responsible for managing loans as they enter the system. Once the loans are received, the Mortgage Processor is responsible for reviewing, organizing, processing the documents, and updating the customer continuously. Articulate verbal and written communication is a must for this role. Additional Responsibilities of the Mortgage Processor include: -Communication with clients, customers, and internal employees -Ordering required verifications (Employment, etc.) -Review property and income documentation To apply, please email your resume and a brief message regarding your qualifications to [Click Here to Email Your Resumé] and CC [Click Here to Email Your Resumé]",Seasonal/Temp,Not Specified
29228,Purchasing,Accountemps,Fresno,California,"Ref ID:00310-113631Classification:Purchasing ManagerCompensation:$14.25 to $16.50 per hourAccountemps has an immediate opening for a full-time purchasing clerk for one of reputable customers. Candidates with direct purchasing (preferrably equipment / IT hardware / software) are encouraged to submit your qualifications. If you have a passion for technology, negotiating and supplying mission critical equipment for your internal customers this is a great opportunity. Candidates should be highly proficient in software (MS Office) and prior experience with ERP software (Oracle, SAP) is highly preferred.",Seasonal/Temp,Not Specified
77325,Package Handler - Part-Time,UPS,Boise,Idaho,"UPS is hiring individuals to work as part-time Package Handlers. This is a physical, fast-paced position that involves continual lifting, lowering and sliding packages that typically weigh 25 - 35 lbs. and may weigh up to 70 lbs. Part-time employees usually work 3 ½ - 4 hours each weekday (Monday through Friday) and typically do not work on weekends or selected holidays.Package Handlers receive a competitive hourly rate and also an attractive benefits package. Please note that these opportunities are part-time only working approximately 17 1/2 – 20 hours per week. Employees can expect to take home between $140.00 and $170.00 each week after deductions have been taken for taxes, etc.",Part-Time,Not Specified
18766,"Home Health Aides (HHAs) in Union City, Pennsylvania",BAYADA HOME HEALTH CARE,Union City,Pennsylvania,"Are you looking for a company who values your compassionate care, your reliability, and your dedication to your clients? We believe that our employees are our greatest asset! BAYADA Home Health Care needs caring HHAs and CNAs to work with our homecare private duty clients. We provide home health care to adult clients. With BAYADA, you will care for one patient. 

You’ll enjoy independence and flexibility, as well as 24-hour clinical support. Call today to learn how you can join our team of dedicated professionals to help keep our clients safely in their homes!

To learn more about this opportunity, please contact Constance Frey at 814-833-1001 or [Click Here to Email Your Resumé].Founded in 1975 by J. Mark Baiada, BAYADA Home Health Care provides nursing, rehabilitative, therapeutic, hospice, and assistive care services to children, adults, and seniors in the comfort of their homes. Headquartered in suburban Philadelphia, BAYADA employs more than 18,000 nurses, home health aides, therapists, medical social workers, and other home health care professionals who serve their communities in 25 states from more than 250 offices. For more information, visit www.bayada.com. BAYADA Home Health Care, Inc. is an Equal Opportunity Employer and qualified applicants will not be discriminated against on the basis of race, color, religion, sex, national origin, disability, or veteran status. ",Part-Time,Not Specified
75732,Paramedic Specialist-Iowa Heart Center (Nuclear- Ankeny) - Mercy Medical Center - PT .5 (Days),Catholic Health Initiatives,West Des Moines,Iowa,"GENERAL SUMMARY: Under supervision, performs pharmacologic stress tests, treadmill and bike stress tests, and monitors adult patient's condition, rhythm and vital signs before, during and after stress testing according to Iowa Heart Center's policies
 
ESSENTIAL FUNCTIONS:
•         Screens patient's medical record for diagnosis and order for procedure.  Greets, educates and prepares patients for procedure (testing) according to protocol.
•         Establishes IV sites and administers intravenous medications as a part of various diagnostic tests.
•         Maintains procedure rooms with necessary supplies and materials. 
•         Participates in professional development activities and maintains professional affiliations.
•         Ensures proper functioning of equipment and reports malfunctions to department director
•         Performs stress test according to protocol. Documents appropriate information.
•         Instructs and educates patients regarding ordered tests and follow-up.
•         Participates in ALARA Program.
•         Files records and reports as needed.
•         Attends required meetings and participates in committees as requested.
•         Maintains safe and clean work environment.
•         Successfully completes Iowa Heart Center Skills Evaluation for Stress Testing
•         Travels to other Iowa Heart Center offices as needed.
•         Operate required vehicle(s) in a safe manner to perform required duties of the position.
",Part-Time,Not Specified
60672,General Office Clerk,OfficeTeam,Denver,Colorado,"Ref ID: 00624-000555Classification: Personnel/Human ResourcesCompensation: $14.25 to $16.50 per hourOne month temporary position You must have strong PC skills, be able to adapt to quick changing protocols and be flexible with helping out other team members. The bulk of this position requires proof reading of health benefit materials that will e-mailed out to members. There are over 100 booklets that contain information that needs a careful eye to review for things such as spacing, spelling, and premium charge errors. This is a month only position that will start next week. Background and drug screen required.",Seasonal/Temp,Not Specified
39657,Registered Nurse,Avante Group,Harrisonburg,Virginia,"Avante Skilled Nursing and Rehabilitation Center is seeking Licensed Registered Nurses to provide direct nursing care to the residents and to perform the day-to-day nursing activities in accordance with current federal, state and local standards governing the facility, and as may be directed by the Director of Nursing Services, Assistant Director of Nursing Services and Administrator, to ensure that the highest degree of quality care is maintained at all times. We currently have Part-Time & PRN positions available.  Must be a Licensed Registered Nurse in good standing and meet all applicable federal and state licensure requirements. - Must speak and understand English. - Must be knowledgeable of nursing and medical practices and procedures and laws, regulations and guidelines governing long-term care. - Positive attitude toward the elderly. Avante offers an excellent Salary & Benefits package! ",Full-Time/Part-Time,Not Specified
36413,Accounts Payable Clerk Wanted For 4-6 Week Project!,Accountemps,Dublin,Ohio,"Ref ID:03410-110331Classification:Accounts Payable ClerkCompensation:$11.40 to $13.20 per hourA growing company on the West side is looking for accounts payable help for a 4-6 week project through mid December. The Accounts Payable Specialist will be responsible for matching and batching invoices, assisting with accounts payable data entry, and other office duties as necessary. The ideal candidate will have working knowledge of Excel and prior Accounts Payable experience. If you are looking for project work, please apply online at www.accountemps.com, or email resumes to [Click Here to Email Your Resumé], or call Chris at 614-471-5536",Seasonal/Temp,Not Specified
4991,Homemaker Needed,BAYADA HOME HEALTH CARE,Hyannis,Massachusetts,"As part of the BAYADA Home Health Care team, you will receive clinical guidance from our clinical manager. Become a team member today! We need you to help us provide exceptional care and services to our clients. The ideal candidates will be compassionate, outgoing, energetic, honest, and reliable with a strong desire to care for others. Our employees are our greatest asset.  Homemaker needed ASAP.

Please email or call for an appointment. We look forward to meeting you!
Founded in 1975 by J. Mark Baiada, BAYADA Home Health Care provides nursing, rehabilitative, therapeutic, hospice, and assistive care services to children, adults, and seniors in the comfort of their homes. Headquartered in suburban Philadelphia, BAYADA employs more than 18,000 nurses, home health aides, therapists, medical social workers, and other home health care professionals who serve their communities in 25 states from more than 250 offices. For more information, visit www.bayada.com. BAYADA Home Health Care, Inc. is an Equal Opportunity Employer and qualified applicants will not be discriminated against on the basis of race, color, religion, sex, national origin, disability, or veteran status. ",Part-Time,Not Specified
8937,Assistant Manager,fred's Super Dollar,Tuscumbia,Alabama,"FRED&rsquo;S Stores, America&rsquo;s favorite hometown store, is seeking to fill the positions of Assistant Manager&nbsp;as a result of recent growth. Since the first Fred&rsquo;s store opened in 1947, we have continuously given our customers the best values on everyday essentials. By meeting our customer expectations, Fred&rsquo;s has grown to over 650 stores and over 250 pharmacies. 

The Assistant Manager is a full-time hourly supervisory position, with the primary responsibility of assisting the Store Manager with operational and customer service imperatives. 

Duties for the Assistant Manager include merchandising, processing freight, maintaining store conditions, providing excellent customer service and other duties as assigned. 

The successful candidate will have at least 2 years of retail experience and be available for various shifts, including nights, weekends and some holidays. 

Some computer skills will be necessary to be successful in the position. 

The compensation for a Assistant Manager is $9.00 to $10.00 per hour based on several factors, including, without limitation, relevant work experience and store volume. The Operation Expert is paid for all hours worked. 

Fred&rsquo;s offers a competitive compensation and benefits package. 

Fred&rsquo;s is an Equal Opportunity Employer. Please respond directly as follows if you are interested:",Full-Time/Part-Time,High School Diploma
16605,Concierge- All Shifts in Philadelphia!,Village Green,Cheltenham,Pennsylvania,"Village Green is coming to the Philadelphia area and we are looking for a Concierge staff for all shifts to deliver excellent customer service at one of our newly acquired luxury apartment communities! This community is minutes from Center City and the Main Line for easy accessibility! The successful candidate will be a professional team player who is motivated by providing superior customer service and has a passion for interacting with visitors, prospects and residents.Responsibilities include:-Provide detailed tours of the clubhouse, models and grounds to prospects, applicants and members - Coordinate/Schedule Move-In Orientations - Schedule/Arrange public and private functions resulting from Outreach efforts - Plan /Coordinate /Host Resident Social Functions - Gather/Organize/Record member likes/dislikes via computer data base - Prepare In-House Newsletter regarding construction updates, events, Preferred Partnering Programs - Conduct Weekly Welcome Contact for New Residents (Written/Phone) - Open doors for residents and their guests when entering and exiting the building while maintaining a courteous disposition. Assist with baggage, etc. when necessary. - Provide access for residents' guests, delivery, and service personnel at residents' and management's request. Maintain contractor log and visitor log. Obtain identification as required. - Monitor entrances and exits, and all activity in the front lobby and rear entrances where applicable. - Maintain a clean and orderly front desk, lobby area, and storage closets where applicable. - Document issues on Accident/Incident Reports. Notify the Police when necessary and communicate incidents to Management. - Adhere to established policies related to fair housing. - Communicate with co-workers, management, residents, vendors, and all outside contacts in a courteous and professional manner. - Maintain confidentiality of co-workers, management, owners, past and current residents, vendors, and all outside contacts.Required Experience:The successful candidate must have at least two years of previous customer service, sales, retail, leasing or hospitality experience, strong communication skills, enthusiasm and the ability to multi-task.Candidate must be flexible with scheduling as the schedule rotates and shifts rotate. Please be open to working any of the following including weekends:If these are qualities you possess and if you have previous hospitality, customer service or sales experience, the desire to provide superior customer service, an interest in leasing or real estate, and want to work in a fun, fast-paced and exciting environment, we want to hear from you!",Full-Time/Part-Time,High School Diploma
20103,Habilitation Counselor,PSA Healthcare,Laceyville,Pennsylvania,"
 Responsibilities:

 Working in the home environment, a Habilitation Counselor is responsible for the delivery of quality one on one services to ID/DD consumers and implementing their goals as outlined in the Individual Support Plan. Care may also involve activities of daily living and communication with other members of the consumers’ multi-disciplinary team. The Habilitation Counselor is required to complete all documentation in accordance with state and program regulations, PSA Healthcare policies and procedures, and any applicable accreditation standards.

 These Responsibilities include:

 
  Implementing written goals from treatment plan with consumer 1:1 services including but not limited to Personal Care, Respite, Home Supports, Home and Community, Supported employment, Crises Services, and Long- term Vocational Support
 
  Instructing and reinforcing target goals and outcomes according to consumer
 
  Completing written documentation of services(s) provided upon completion of visit as directed by QP
 
  Accurately noting consumer responses and results to staff interventions and assessment through proper documentation
 
  Maintaining appropriate professional conduct at all times
 
  Assisting in the development of consumer treatment plan and goal revisions as directed by interdisciplinary team
 
  Providing care in accordance with written instructions from professional staff
 
  Reporting immediately to QP any changes in the patient’s condition or any problems in assigned tasks
 
  Relaying observations of patient’s mental and physical status to QP
",Per Diem,Not Specified
49347,Bookkeeping Consultants Needed-Westlake Village!,Accountemps,Westlake Village,California,"Ref ID:00510-9737796Classification:Bookkeeper - F/CCompensation:DOEWe are looking for Accounting Consultants to join our growing team. We represent accounting professionals that like flexibility, challenges, and changing job duties. Working as a consultant is the number one way to grow your skill set, industry experience, and software experience. We offer very competitive pay that is guaranteed between assignments. Job duties vary but may be as follows: ~ Accounts Payable ~ Accounts Receivable ~ Purchasing ~ Month End Close ~ Depreciation Schedules ~ EARP Conversion Support ~ Audit Preparation Help ~ Account Reconciliations ~ Bank Reconciliations ~ 3rd Party and in-house Payroll processing If you are interested in hearing more about being a consultant, please call Nicole Wilson at 805-496-2805 or email me your most up to date resume to [Click Here to Email Your Resumé]! 3+ years of experience in Accounting as either a Full-Charge Bookkeeper, Staff Accountant, or Senior Accountant.",Seasonal/Temp,Not Specified
80384,Warehouse Worker (Loader) Part Time,NAPA,Atlanta,Georgia," Job Description   We are seeking a skilled and highly motivated part time Warehouse Worker/Loader to join our growing team of professionals. The Warehouse Worker/Loader is primarily focused on receiving, stocking, pulling, staging, loading and shipping merchandise. If you like to be on the move all day long and seek opportunities to learn, train, and really grow within a company, you should consider our part time Warehouse Worker/Loader opportunity!As a Warehouse Worker/Loader, you will be moving the right auto parts to the right place with safety, precision and speed. The Warehouse Worker/Loader will also be using an electronic scanner to pull parts, and pack and load them for shipment.Other responsibilities will include:			Moving through aisles, rows and shelves			Having a keen sense for seeing, hearing and remembering part numbers and line codes			Lifting merchandise up to 60 lbs as needed			Maneuvering heavy equipment using hand trucks motorize cards, pallet jackets, etc			Helping team members maintain a clean, organized floor           Qualifications   			Keen sense for seeing, hearing and remembering part numbers and line codes			Strength to lift 60 lbs of merchandise and Push/Pull up to 300 lbs using mechanical aids, such as hand trucks, barrel dollies, motorized carts, pallet jacks, etc.			Agility to bend to floor-level shelves and reach to upper shelves (eight feet) with use of stool or ladder			Stamina to stand and walk for entire work shift			Desire to go above and beyond the job description			Motivated team player and independent worker			Minimum 18 Years of Age			Pre-Employment Drug Screen and Background Check    Closing Statement   In the 1920's, America fell in love with the automobile. More and more vehicles began traveling the roads, creating a need for an auto parts distribution system that could keep pace with the demand to keep our automobiles running. In 1925, NAPA was founded to meet those needs. Since then, we've sped our way to become a powerhouse in the auto parts industry. Fueled by the popularity of the automobile, our name can now be seen on over 5,800 stores, 58 distribution centers, and 13,000 NAPA AutoCare facilities across the country, and we're not stopping there.Our 80 years of experience has made us an industry leader, but don't let our age lead you to believe we can't keep up with the changing times. We're not your grandfather's NAPA. As our vehicles become more advanced, we've adapted our business in ways that allow us to stay ahead of the curve. We're constantly updating our inventory of over 500,000 parts, opening new stores, reaching out to customers in new ways, and most importantly, we're hiring new talent to join our ranks.It's an exciting time to join our team and we need people like you to help us accelerate our business into the future. Our growth depends on the dedication and enthusiasm of our employees. At NAPA, we want to continue to expand our presence, but at the heart of our business we just love automobiles. That's probably one of the reasons you're visiting this page. You share our passion to help customers, both retail and wholesale, keep their vehicles running. At NAPA, you'll be part a team that's building on an 80-year legacy of NAPA KNOW HOW, backed by the best employees in the world.We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.  ",Part-Time,Not Specified
53818,CUSTOMER SERVICE/ ORDER TAKING,"C.F.M.S. Group, LLC",Winter Park,Florida,"&nbsp;
&nbsp;CUSTOMER SERVICE/ ORDER TAKING DAY SHIFTS AVAILABLE !!!&nbsp;(WINTER PARK)
compensation:&nbsp;$10 a hour as well as a Residual commission structure offered as well
We are looking for sharp, enthusiastic people who are willing to learn. Computer skills are a must and call center experienced is preferred. This is a ideal position for someone looking to receive full time pay working part time hours while learning the medical industry.$10 a hour as well as a Residual commission structure offered as well. No Weekends!! Monday- Friday 11am- 5pm.

Call and schedule interview 407-960-8034. Position are filling up quickly so schedule a interview immediately. Ask for Mike",Part-Time,Not Specified
44863,Customer Service / Sales ( New Grads Welcome! ),Vector Marketing,San Antonio,Texas,"
&nbsp;

If you excel in providing exceptional customer service and are eager to learn, we have an opportunity for you! Whether you are looking for part-time or full-time work that fits around YOUR schedule, have been looking for a customer service focused sales position that you can feel good about, or just need to make some extra money, Vector Marketing can help. 
&nbsp;
We have part-time and some full-time opportunities in both temporary and permanent capacities for college students, recent high school graduates, individuals needing extra income, and others. No previous experience needed; we will train you! We believe training program is so effective that anyone who wants to be successful with us can be. 
&nbsp;
That&rsquo;s why, unlike a lot of companies, we don&rsquo;t require previous work experience or specific majors or degrees.
&nbsp;
&nbsp;
As a member of our team, not only will you have a clear-cut direction on what it takes to succeed, you&rsquo;ll have the choice to move among several different career options &ndash; including part-time, full-time, and management.
&nbsp;
As a customer service focused sales representative, we offer you:
&nbsp;

    Excellent pay
    Training &ndash; both initial training to get you off to a good start, and opportunities for on-going training when you need it
    Promotion opportunities based on merit, not tenure
    Flexible schedule that can work around family commitments, other jobs, internships, or vacation schedules
    Choice &ndash; People who work with us aren&rsquo;t limited to a single location. If you move for school, because a family member&rsquo;s job requires relocation, or any other reason you can easily transfer to an office near your new location. 

&nbsp;
&nbsp;




Customer Service Specialist (Customer Service / Sales) 


As a customer service focused sales representative with Vector, you&rsquo;ll present Cutco to both new and existing customers on a low-key, one-on-one basis. 
&nbsp;
We offer a minimum base pay so you don&rsquo;t feel pressured to make a sale - instead you get to focus on providing excellent service to your customers. As you learn and grow, you&rsquo;ll have the opportunity to make more based on your results.


Customer Service Specialist (Customer Service / Sales) 

",Full-Time/Part-Time,Not Specified
52214,Recruiters Needed,RBA Staffing,Phoenix,Arizona,"Due to unprecedented demands on our team, we are looking for an enthusiastic and dedicated person who wants to take the next step in their career while retaining a casual role. The ideal candidate will be passionate and excited about using their experience in telecommuting/remote recruitment and HR administration to provide efficient and effective assistance to the Human Resources team on various projects.&nbsp;

Due to our client's nationwide structure, you must be comfortable with telephone and video interviewing candidates all around the states.

Responsibilities to include:


    CV screening for all roles
    Phone pre-screening and video interviewing
    Arrange all interviews with candidates and management
    High volume recruitment


We offer flexible schedule, competitive salary + bonus structure.

If you are available right away and have the experience for this role please apply immediately.",Part-Time,Not Specified
5187,Seasonal CSR,David's Bridal,Joplin,Missouri,"We are hiring for our upcoming busy season! Interviewing the next two weeks!David’s Bridal, the largest and most successful bridal retailer in the country, has grown to over 325 stores nationwide, and more stores continue to open all the time! We currently have a position available support the store as a Seasonal Customer Service Representative.  If you are interested in the following position, please apply immediately for consideration.The Seasonal CSR is responsible for providing professional and unsurpassed customer service to each our David's Bridal customers.  The Seasonal CSR provides information about David's Bridal products and services and responds to all customer inquiries.  A Seasonal CSR demonstrates our culture of trust, fairness, integrity, and accountability in accordance with David’s Bridal’s Core Values.We are looking for top-notch Seasonal CSR's who enjoy the hustle and bustle of a fast-paced environment.  If you would like to work in a positive professional environment, we would love to speak to you.If you are interested in working in our stores, please allow time for our online application process. This can only be completed on a laptop or desktop computer; currently the application cannot be completed on a mobile device.Would you love making her dream come true.  We popped the question - won't you say 'I do'!Part TimeHourly Rate",Part-Time,High School Diploma
31685,Licensed Practical Nurse (LPN/LVN) - Healthcare LPN/LVN Nurse,The Evangelical Lutheran Good Samaritan Society,Jackson,Minnesota,"

Licensed Practical Nurse (LPN/LVN)
As a Licensed Practical Nurse (LPN/LVN) you will be responsible for observing patients, charting and reporting changes in patients' conditions, such as adverse reactions to medication or treatment, and taking any necessary action.

Additional responsibilities of the LPN/LVN position include:
� Administering prescribed medications or start intravenous fluids, noting times and amounts on patients' charts.
� Providing basic patient care or treatments, such as taking temperatures or blood pressures, dressing wounds, treating bedsores, giving enemas or douches, rubbing with alcohol, massaging, or performing catheterizations.
� Sterilizing equipment and supplies, using germicides, sterilizer, or autoclave.
� Answering patients' calls and determining how to assist them.
� Working as part of a healthcare team to assess patient needs, plan and modify care, and implement interventions.
",Part-Time,Not Specified
68173,Full Charge Bookkeeper,Accountemps,Kearny,New Jersey,"Ref ID:02680-110436Classification:Bookkeeper - F/CCompensation:$16.00 to $18.00 per hourGrowing company in Hudson County is looking for a Full Charge Bookkeeper. Full Charge Bookkeeper will be responsible for processing A/P, A/R, bank reconciliation, and payroll. This person will also be responsible for preparing the T/B and month-end closings. Candidate must have experience with journal entries, posting to the general ledger, must be organized, and have good time management skills. This person should also have QuickBooks skills as well as Excel. At least 5 years of experience. If you are interested in applying please contact 201-239-5801 [Click Here to Email Your Resumé]",Seasonal/Temp,Not Specified
76631,Activities Assistant Job Fair,Belmont Village Westwood,Los Angeles,California,"Activities Assistant Job Fair

Thursday, April 16th (10am to 2pm)


Professional dress always makes a good first impression.

Please bring a copy of your resume.
It's time to reclaim your creativity and make a difference in the life of a senior. Our residents are eager to meet you and would love to have your guidance, talent and originality be a part of their lives.


Full-time and Part-time positions available (all shifts).


Exciting opportunity for a high energy Activity Assistant.

Belmont Village Westwood is an upscale premier provider of senior living services for the elderly. We are seeking an experienced Activity Assistant with a background in dementia or recreation therapy to join this team.


In this role you will:

     Plan, organize and facilitate specialized activities for residents with mild cognitive impairment.
    
     Ensure person-centered programming utilizing the structured day programming.
    
     Maintain consistent communication with supervisor, nurses and families.
    
     Coordinate and assist with the lunch and dinner meal program.
    
     Ensure complete and consistent documentation.
    
     Ensure a safe environment for residents.


You will need to possess the following qualifications:

     High School Diploma or equivalent.
    
     6 months or more activity experience working directly with the elderly or individuals with disabilities.
    
     Ability to work flexible days/hours.


We offer a full line of excellent benefits and a competitive pay program. The only thing more beautiful than the surroundings at Belmont Village is the people with which you will work. COME FOR THE ENVIRONMENT, BECOME PART OF THE FAMILY.


Belmont Village builds, owns and operates Upscale Senior Living Apartment Communities NATIONWIDE. Our Communities are designed for seniors who need some assistance with daily activities. We provide living space, meals, housekeeping services, recreational/social activities and personal support to our residents. Our goal is to provide seniors with a way to lead happy, self-directed lives.


To apply, attend our Job Fair:

Belmont Village Westwood

10475 Wilshire Blvd., Los Angeles, CA  90024


Date: Thursday, April 16th

Time: 10am to 2pm


(Parking is available on P4 of the parking garage).

Please bring a copy of your resume.


We will be conducting on-the-spot interviews.


Map of 10475 Wilshire Blvd.
Los Angeles, CA  90024,  US


Belmont Village Westwood

Los Angeles, CA


For more information regarding Belmont Village,

or for a virtual tour visit www.belmontvillage.com


We Make Aging Better 


Belmont Village is an EOE/Drug Free work place.
",Full-Time/Part-Time,High School Diploma
24347,Data Entry Clerk,OfficeTeam,Elk Grove Village,Illinois,"Ref ID: 01360-113028Classification: Data EntryCompensation: $13.30 to $15.40 per hourA Robert Half / OfficeTeam client in the Rosemont area is seeking a Data Entry Clerk for a temporary opportunity. As communicated by the OfficeTeam client, the Data Entry Clerks duties include (but are not limited to)data entry, following up on Air/Ocean freight statuses, and general office duties. The right candidate for this Data Entry Clerk role must have Air & Ocean Freight experience and customer service experience. If you meet the requirements for this Data Entry Clerk position and would like to be considered, please contact OfficeTeam (in Rosemont) and forward your resume to [Click Here to Email Your Resumé]",Seasonal/Temp,Not Specified
12832,Pharmacy Technician,Fred Meyer,Grants Pass,Oregon,"Fred Meyer has an outstanding reputation in retail pharmacy. Come join our team of caring professionals!
Fred Meyer offers competitive wages, flexible schedules, excellent benefits, opportunities for advancement, and an employee store discount!
The  Pharmacy Technician is an Entry-Level  position (based in the pharmacy) in charge of assisting in the daily operation of the pharmacy. The daily operation consists of, but are not limited to the following:

    Providing customer service
    
    Assisting pharmacists when needed
    
    Assisting in various pharmacy functions
    
    Monitoring pharmacy conditions and following through to maintain proper standards 


Qualifications


    Current Oregon Pharmacy Technician License
    
    Must be customer Service Oriented 
",Part-Time,Not Specified
67661,Cashier : Part Time Retail / Entry level / Customer Service,Kangaroo Express,Conway,South Carolina,"JOB DUTIES & RESPONSIBILITIES (partial list):


    Customer Satisfaction: Provide excellent customer service  to ensure the customer has a pleasant shopping experience. 



    Greet customers upon entering the store and thank customers as they leave. 
    
    Give assistance and suggestively sell to the customer. 
    
    Report to work on time and follow the dress and appearance code. 



    Store Condition: Maintain good overall store and property conditions by cleaning and performing a variety of general housekeeping duties such as: 



    Dusting and/or washing windows, counters, displays, food service areas and bathrooms. 
    
    Picking up and disposing of trash, litter or debris in store, parking lot / surrounding grounds. 
    
    Cleaning and checking equipment including coffee machine and refrigeration units. 



    Merchandising: Stock, front, and rotate store coolers, shelves, counters and food service areas displays to ensure freshness, appeal, and easy customer access. 

 

    Prepare food items according to menus and recipes; maintain proper weights, holding times and temperatures; practice safe food handling procedures. 
    
    Place advertising and pricing signage inside or outside the facility including marquees, ceilings, walls, windows and pump toppers. 



    Sales Controls: Complete all sales in accordance with government regulations and Company standards by: 



    Verifying customer eligibility to purchase age-restricted products and refusing to sell these products when appropriate. 
    
    Entering all transactions at the time of purchase at the correct price and placing all payments collected in the register and making correct change. 

 

    Financial and Security Controls: 



    Keep accurate cash, sales and inventory control records and accounts for variances.
    
    Report all incidents including but not limited to employee or customer injuries, gas drive-offs, theft, property damage and/or improper waste disposal to the Store Manager. 
",Part-Time,High School Diploma
